#,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,,!,!EXNAME,!WST_ID,!SOIL_ID,!Soil #
*,NIORO001,NIORO------Soil1,,,!,NIORO001,DJIG,ITSN840080,1
*,NIORO002,NIORO------Soil1,,,!,NIORO002,DJIG,ITSN840080,1
*,NIORO003,NIORO------Soil1,,,!,NIORO003,DJIG,ITSN840080,1
*,NIORO004,NIORO------Soil1,,,!,NIORO004,DJIG,ITSN840080,1
*,NIORO005,NIORO------Soil1,,,!,NIORO005,DJIG,ITSN840080,1
*,NIORO006,NIORO------Soil1,,,!,NIORO006,DJIG,ITSN840080,1
*,NIORO007,NIORO------Soil1,,,!,NIORO007,DJIG,ITSN840080,1
*,NIORO008,NIORO------Soil1,,,!,NIORO008,DJIG,ITSN840080,1
*,NIORO009,NIORO------Soil1,,,!,NIORO009,DJIG,ITSN840080,1
*,NIORO010,NIORO------Soil1,,,!,NIORO010,DJIG,ITSN840080,1
*,NIORO011,NIORO------Soil1,,,!,NIORO011,DJIG,ITSN840080,1
*,NIORO012,NIORO------Soil1,,,!,NIORO012,DJIG,ITSN840080,1
*,NIORO013,NIORO------Soil2,,,!,NIORO013,MEDI,ITSN840042,2
*,NIORO014,NIORO------Soil2,,,!,NIORO014,MEDI,ITSN840042,2
*,NIORO015,NIORO------Soil2,,,!,NIORO015,MEDI,ITSN840042,2
*,NIORO016,NIORO------Soil2,,,!,NIORO016,MEDI,ITSN840042,2
*,NIORO017,NIORO------Soil2,,,!,NIORO017,MEDI,ITSN840042,2
*,NIORO018,NIORO------Soil2,,,!,NIORO018,MEDI,ITSN840042,2
*,NIORO019,NIORO------Soil2,,,!,NIORO019,MEDI,ITSN840042,2
*,NIORO020,NIORO------Soil2,,,!,NIORO020,MEDI,ITSN840042,2
*,NIORO021,NIORO------Soil2,,,!,NIORO021,MEDI,ITSN840042,2
*,NIORO022,NIORO------Soil2,,,!,NIORO022,MEDI,ITSN840042,2
*,NIORO023,NIORO------Soil2,,,!,NIORO023,MEDI,ITSN840042,2
*,NIORO024,NIORO------Soil2,,,!,NIORO024,MEDI,ITSN840042,2
*,NIORO025,NIORO------Soil2,,,!,NIORO025,MEDI,ITSN840042,2
*,NIORO026,NIORO------Soil2,,,!,NIORO026,MEDI,ITSN840042,2
*,NIORO027,NIORO------Soil2,,,!,NIORO027,MEDI,ITSN840042,2
*,NIORO028,NIORO------Soil2,,,!,NIORO028,MEDI,ITSN840042,2
*,NIORO029,NIORO------Soil2,,,!,NIORO029,MEDI,ITSN840042,2
*,NIORO030,NIORO------Soil2,,,!,NIORO030,MEDI,ITSN840042,2
*,NIORO031,NIORO------Soil2,,,!,NIORO031,MEDI,ITSN840042,2
*,NIORO032,NIORO------Soil2,,,!,NIORO032,MEDI,ITSN840042,2
*,NIORO033,NIORO------Soil2,,,!,NIORO033,MEDI,ITSN840042,2
*,NIORO034,NIORO------Soil2,,,!,NIORO034,MEDI,ITSN840042,2
*,NIORO035,NIORO------Soil2,,,!,NIORO035,MEDI,ITSN840042,2
*,NIORO036,NIORO------Soil2,,,!,NIORO036,MEDI,ITSN840042,2
*,NIORO037,NIORO------Soil2,,,!,NIORO037,MEDI,ITSN840042,2
*,NIORO038,NIORO------Soil2,,,!,NIORO038,MEDI,ITSN840042,2
*,NIORO039,NIORO------Soil2,,,!,NIORO039,MEDI,ITSN840042,2
*,NIORO040,NIORO------Soil2,,,!,NIORO040,MEDI,ITSN840042,2
*,NIORO041,NIORO------Soil2,,,!,NIORO041,MEDI,ITSN840042,2
*,NIORO042,NIORO------Soil2,,,!,NIORO042,MEDI,ITSN840042,2
*,NIORO043,NIORO------Soil3,,,!,NIORO043,NDIB,ITSN840056,3
*,NIORO044,NIORO------Soil3,,,!,NIORO044,NDIB,ITSN840056,3
*,NIORO045,NIORO------Soil3,,,!,NIORO045,NDIB,ITSN840056,3
*,NIORO046,NIORO------Soil3,,,!,NIORO046,NDIB,ITSN840056,3
*,NIORO047,NIORO------Soil3,,,!,NIORO047,NDIB,ITSN840056,3
*,NIORO048,NIORO------Soil3,,,!,NIORO048,NDIB,ITSN840056,3
*,NIORO049,NIORO------Soil3,,,!,NIORO049,NDIB,ITSN840056,3
*,NIORO050,NIORO------Soil1,,,!,NIORO050,NGAY,ITSN840080,1
*,NIORO051,NIORO------Soil1,,,!,NIORO051,NGAY,ITSN840080,1
*,NIORO052,NIORO------Soil1,,,!,NIORO052,NGAY,ITSN840080,1
*,NIORO053,NIORO------Soil1,,,!,NIORO053,NGAY,ITSN840080,1
*,NIORO054,NIORO------Soil1,,,!,NIORO054,NGAY,ITSN840080,1
*,NIORO055,NIORO------Soil1,,,!,NIORO055,NGAY,ITSN840080,1
*,NIORO056,NIORO------Soil1,,,!,NIORO056,NGAY,ITSN840080,1
*,NIORO057,NIORO------Soil1,,,!,NIORO057,NGAY,ITSN840080,1
*,NIORO058,NIORO------Soil1,,,!,NIORO058,NGAY,ITSN840080,1
*,NIORO059,NIORO------Soil1,,,!,NIORO059,NGAY,ITSN840080,1
*,NIORO060,NIORO------Soil1,,,!,NIORO060,NGAY,ITSN840080,1
*,NIORO061,NIORO------Soil1,,,!,NIORO061,NGAY,ITSN840080,1
*,NIORO062,NIORO------Soil1,,,!,NIORO062,NGAY,ITSN840080,1
*,NIORO063,NIORO------Soil1,,,!,NIORO063,NGAY,ITSN840080,1
*,NIORO064,NIORO------Soil1,,,!,NIORO064,NGAY,ITSN840080,1
*,NIORO065,NIORO------Soil1,,,!,NIORO065,NGAY,ITSN840080,1
*,NIORO066,NIORO------Soil4,,,!,NIORO066,PAOS,ITSN840067,4
*,NIORO067,NIORO------Soil4,,,!,NIORO067,PAOS,ITSN840067,4
*,NIORO068,NIORO------Soil4,,,!,NIORO068,PAOS,ITSN840067,4
*,NIORO069,NIORO------Soil4,,,!,NIORO069,PAOS,ITSN840067,4
*,NIORO070,NIORO------Soil4,,,!,NIORO070,PAOS,ITSN840067,4
*,NIORO071,NIORO------Soil4,,,!,NIORO071,PAOS,ITSN840067,4
*,NIORO072,NIORO------Soil4,,,!,NIORO072,PORO,ITSN840067,4
*,NIORO073,NIORO------Soil4,,,!,NIORO073,PORO,ITSN840067,4
*,NIORO074,NIORO------Soil4,,,!,NIORO074,PORO,ITSN840067,4
*,NIORO075,NIORO------Soil4,,,!,NIORO075,PORO,ITSN840067,4
*,NIORO076,NIORO------Soil4,,,!,NIORO076,PORO,ITSN840067,4
*,NIORO077,NIORO------Soil4,,,!,NIORO077,PORO,ITSN840067,4
*,NIORO078,NIORO------Soil4,,,!,NIORO078,PORO,ITSN840067,4
*,NIORO079,NIORO------Soil4,,,!,NIORO079,PORO,ITSN840067,4
*,NIORO080,NIORO------Soil4,,,!,NIORO080,PORO,ITSN840067,4
*,NIORO081,NIORO------Soil4,,,!,NIORO081,PORO,ITSN840067,4
*,NIORO082,NIORO------Soil4,,,!,NIORO082,PORO,ITSN840067,4
*,NIORO083,NIORO------Soil4,,,!,NIORO083,PORO,ITSN840067,4
*,NIORO084,NIORO------Soil4,,,!,NIORO084,PORO,ITSN840067,4
*,NIORO085,NIORO------Soil4,,,!,NIORO085,PORO,ITSN840067,4
*,NIORO086,NIORO------Soil4,,,!,NIORO086,PORO,ITSN840067,4
*,NIORO087,NIORO------Soil4,,,!,NIORO087,PORO,ITSN840067,4
*,NIORO088,NIORO------Soil4,,,!,NIORO088,PORO,ITSN840067,4
*,NIORO089,NIORO------Soil4,,,!,NIORO089,PORO,ITSN840067,4
*,NIORO090,NIORO------Soil4,,,!,NIORO090,PORO,ITSN840067,4
*,NIORO091,NIORO------Soil4,,,!,NIORO091,PORO,ITSN840067,4
*,NIORO092,NIORO------Soil4,,,!,NIORO092,PORO,ITSN840067,4
*,NIORO093,NIORO------Soil4,,,!,NIORO093,PORO,ITSN840067,4
*,NIORO094,NIORO------Soil4,,,!,NIORO094,PORO,ITSN840067,4
*,NIORO095,NIORO------Soil4,,,!,NIORO095,PORO,ITSN840067,4
*,NIORO096,NIORO------Soil4,,,!,NIORO096,PORO,ITSN840067,4
*,NIORO097,NIORO------Soil4,,,!,NIORO097,PORO,ITSN840067,4
*,NIORO098,NIORO------Soil4,,,!,NIORO098,PORO,ITSN840067,4
*,NIORO099,NIORO------Soil4,,,!,NIORO099,PORO,ITSN840067,4
*,NIORO100,NIORO------Soil4,,,!,NIORO100,PORO,ITSN840067,4
