#,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY
*,NIORO001,NIORO------Soil1,NIORO-4-----generic
*,NIORO002,NIORO------Soil1,NIORO-3-----generic
*,NIORO003,NIORO------Soil1,NIORO-5-----generic
*,NIORO004,NIORO------Soil1,NIORO-1-----generic
*,NIORO005,NIORO------Soil1,NIORO-4-----generic
*,NIORO006,NIORO------Soil1,NIORO-3-----generic
*,NIORO007,NIORO------Soil1,NIORO-3-----generic
*,NIORO008,NIORO------Soil1,NIORO-5-----generic
*,NIORO009,NIORO------Soil1,NIORO-4-----generic
*,NIORO010,NIORO------Soil1,NIORO-5-----generic
*,NIORO011,NIORO------Soil1,NIORO-2-----generic
*,NIORO012,NIORO------Soil1,NIORO-4-----generic
*,NIORO013,NIORO------Soil2,NIORO-4-----generic
*,NIORO014,NIORO------Soil2,NIORO-4-----generic
*,NIORO015,NIORO------Soil2,NIORO-4-----generic
*,NIORO016,NIORO------Soil2,NIORO-4-----generic
*,NIORO017,NIORO------Soil2,NIORO-5-----generic
*,NIORO018,NIORO------Soil2,NIORO-5-----generic
*,NIORO019,NIORO------Soil2,NIORO-6-----generic
*,NIORO020,NIORO------Soil2,NIORO-2-----generic
